provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;14;2;14;28014002_14_6;2022;10;6;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;7;28148004_7_8;2022;10;6;2;V;2;V;2;V;2;V;2;V;3;V;32;V;43;V;18;V;9;V;5;V;6;V;3;V;3;V;2;V;2;V;3;V;2;V;3;V;5;V;2;V;2;V;2;V;2;V
28;148;4;8;28148004_8_8;2022;10;6;10;V;4;V;10;V;21;V;25;V;34;V;56;V;52;V;36;V;15;V;10;V;13;V;9;V;9;V;4;V;4;V;11;V;16;V;48;V;45;V;12;V;10;V;8;V;10;V
28;148;4;9;28148004_9_49;2022;10;6;19;V;28;V;23;V;22;V;20;V;19;V;18;V;18;V;17;V;11;V;7;V;7;V;8;V;6;V;7;V;7;V;6;V;6;V;11;V;15;V;15;V;13;V;10;V;11;V
28;148;4;10;28148004_10_49;2022;10;6;37;V;25;V;18;V;19;V;28;V;39;V;47;V;48;V;47;V;44;V;42;V;38;V;35;V;32;V;30;V;27;V;25;V;28;V;32;V;38;V;36;V;28;V;23;V;19;V
28;148;4;12;28148004_12_8;2022;10;6;13;V;7;V;13;V;24;V;29;V;38;V;105;V;117;V;63;V;28;V;18;V;22;V;14;V;14;V;8;V;7;V;15;V;19;V;53;V;52;V;15;V;13;V;11;V;13;V
28;148;4;14;28148004_14_6;2022;10;6;64;V;66;V;57;V;39;V;28;V;20;V;8;V;13;V;31;V;62;V;81;V;81;V;92;V;96;V;92;V;88;V;80;V;71;V;34;V;34;V;68;V;67;V;69;V;66;V
28;16;1;1;28016001_1_38;2022;10;6;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;6;28016001_6_48;2022;10;6;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;16;1;7;28016001_7_8;2022;10;6;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2022;10;6;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;9;28016001_9_49;2022;10;6;29;V;32;V;28;V;22;V;18;V;18;V;18;V;17;V;15;V;13;V;11;V;9;V;9;V;11;V;10;V;8;V;8;V;8;V;8;V;8;V;8;V;7;V;8;V;9;V
28;16;1;10;28016001_10_49;2022;10;6;66;V;66;V;57;V;47;V;40;V;38;V;38;V;38;V;36;V;32;V;25;V;20;V;16;V;14;V;13;V;13;V;13;V;14;V;14;V;15;V;15;V;15;V;17;V;17;V
28;16;1;12;28016001_12_8;2022;10;6;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;16;1;14;28016001_14_6;2022;10;6;85;V;84;V;82;V;77;V;75;V;74;V;74;V;75;V;75;V;82;V;89;V;94;V;94;V;92;V;91;V;91;V;91;V;89;V;88;V;86;V;86;V;87;V;83;V;81;V
28;16;1;20;28016001_20_59;2022;10;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2022;10;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2022;10;6;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V
28;16;1;44;28016001_44_2;2022;10;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;431;28016001_431_59;2022;10;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2022;10;6;1;V;1;V;1;V;1;V;1;V;3;V;17;V;15;V;4;V;2;V;1;V;1;V;1;V;3;V;9;V;3;V;1;V;1;V;3;V;2;V;1;V;2;V;1;V;1;V
28;161;1;8;28161001_8_8;2022;10;6;9;V;10;V;11;V;12;V;27;V;37;V;53;V;45;V;21;V;11;V;9;V;7;V;6;V;9;V;11;V;10;V;10;V;19;V;41;V;28;V;17;V;13;V;8;V;6;V
28;161;1;9;28161001_9_49;2022;10;6;13;V;11;V;10;V;11;V;9;V;10;V;11;V;10;V;12;V;10;V;9;V;8;V;8;V;10;V;10;V;9;V;7;V;8;V;10;V;12;V;13;V;10;V;8;V;5;V
28;161;1;12;28161001_12_8;2022;10;6;11;V;12;V;13;V;14;V;29;V;42;V;78;V;68;V;28;V;14;V;11;V;9;V;8;V;14;V;24;V;15;V;12;V;21;V;46;V;31;V;19;V;16;V;10;V;8;V
28;161;1;14;28161001_14_6;2022;10;6;54;V;50;V;47;V;43;V;32;V;22;V;7;V;13;V;39;V;60;V;67;V;74;V;79;V;80;V;80;V;78;V;76;V;62;V;32;V;37;V;48;V;54;V;55;V;58;V
28;171;1;1;28171001_1_38;2022;10;6;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V
28;171;1;6;28171001_6_48;2022;10;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;0.1;V;;N;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;171;1;7;28171001_7_8;2022;10;6;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;;N;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2022;10;6;5;V;6;V;9;V;8;V;8;V;7;V;8;V;7;V;8;V;10;V;10;V;;N;7;V;5;V;4;V;3;V;3;V;4;V;8;V;7;V;7;V;8;V;3;V;3;V
28;171;1;9;28171001_9_49;2022;10;6;34;V;32;V;32;V;29;V;22;V;17;V;17;V;13;V;8;V;9;V;9;V;7;V;6;V;8;V;9;V;13;V;18;V;23;V;27;V;27;V;22;V;19;V;16;V;12;V
28;171;1;10;28171001_10_49;2022;10;6;79;V;78;V;73;V;69;V;56;V;46;V;39;V;36;V;33;V;30;V;27;V;25;V;27;V;31;V;26;V;26;V;27;V;29;V;35;V;40;V;39;V;36;V;31;V;25;V
28;171;1;12;28171001_12_8;2022;10;6;7;V;8;V;11;V;10;V;10;V;9;V;10;V;9;V;10;V;14;V;14;V;;N;12;V;10;V;7;V;5;V;5;V;6;V;10;V;9;V;9;V;10;V;5;V;5;V
28;171;1;14;28171001_14_6;2022;10;6;71;V;64;V;55;V;56;V;53;V;49;V;48;V;50;V;;N;;N;79;V;88;V;99;V;108;V;115;V;118;V;116;V;107;V;83;V;77;V;66;V;67;V;71;V;70;V
28;180;1;7;28180001_7_8;2022;10;6;1;V;1;V;1;V;1;V;1;V;2;V;5;V;7;V;3;V;1;V;1;V;2;V;1;V;1;V;3;V;1;V;1;V;1;V;1;V;3;V;4;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2022;10;6;8;V;11;V;3;V;3;V;4;V;11;V;18;V;21;V;7;V;5;V;4;V;4;V;4;V;4;V;8;V;5;V;5;V;12;V;15;V;15;V;20;V;9;V;8;V;8;V
28;180;1;9;28180001_9_49;2022;10;6;17;V;17;V;14;V;11;V;9;V;8;V;14;V;14;V;11;V;9;V;9;V;13;V;13;V;13;V;17;V;19;V;18;V;18;V;18;V;19;V;18;V;16;V;13;V;10;V
28;180;1;12;28180001_12_8;2022;10;6;10;V;13;V;5;V;5;V;6;V;14;V;26;V;32;V;12;V;7;V;6;V;7;V;6;V;6;V;13;V;7;V;7;V;14;V;17;V;19;V;26;V;11;V;10;V;10;V
28;180;1;14;28180001_14_6;2022;10;6;74;V;67;V;74;V;75;V;71;V;60;V;56;V;52;V;76;V;87;V;91;V;95;V;98;V;99;V;94;V;95;V;93;V;78;V;69;V;70;V;65;V;76;V;77;V;72;V
28;45;2;6;28045002_6_48;2022;10;6;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.8;V;0.8;V;0.8;V;0.8;V;0.8;V;0.8;V;0.8;V;0.8;V;0.8;V;0.7;V;0.7;V;0.7;V;0.7;V;1.4;V;0.9;V;0.8;V;0.7;V;0.9;V;0.8;V
28;45;2;7;28045002_7_8;2022;10;6;1;V;1;V;1;V;3;V;2;V;20;V;28;V;15;V;7;V;5;V;5;V;4;V;4;V;3;V;4;V;4;V;5;V;3;V;8;V;1;V;2;V;1;V;1;V;1;V
28;45;2;8;28045002_8_8;2022;10;6;24;V;16;V;9;V;16;V;21;V;55;V;62;V;34;V;18;V;14;V;12;V;12;V;11;V;11;V;12;V;16;V;22;V;25;V;51;V;32;V;26;V;14;V;24;V;19;V
28;45;2;10;28045002_10_49;2022;10;6;102;V;67;V;48;V;36;V;36;V;33;V;47;V;48;V;22;V;25;V;25;V;20;V;11;V;15;V;22;V;29;V;35;V;43;V;39;V;42;V;38;V;33;V;33;V;36;V
28;45;2;12;28045002_12_8;2022;10;6;26;V;18;V;11;V;21;V;24;V;85;V;105;V;56;V;29;V;22;V;19;V;18;V;18;V;16;V;18;V;22;V;30;V;29;V;63;V;34;V;29;V;17;V;26;V;21;V
28;45;2;14;28045002_14_6;2022;10;6;60;V;65;V;71;V;62;V;54;V;24;V;25;V;56;V;75;V;81;V;87;V;91;V;94;V;95;V;95;V;97;V;86;V;80;V;50;V;66;V;70;V;73;V;56;V;60;V
